	Code	Name	Type	Formula	PubChem	IUPAC	Smiles	Weight	Clusters	Symbol	Source	Essential amino acids	Error
25	D-Asn	D-Asparagine	NRPS	C4H8N2O3	439600	"(2R)-2,4-diamino-4-oxobutanoic acid"	NC(=O)CC(N)C(=O)O	132.11792	"['Asn*', 'Asx']"	N*	Norine		
26	NMe-Asn	N-methylasparagine	unknown	C5H10N2O3	350900	4-amino-2-methylamino-4-oxobutanoic acid	CNC(CC(N)=O)C(=O)O	146.1445	"['Asn*', 'Asx']"	N*	Norine		
27	D-PO-Asn	D-PhosphateAsparagine	NRPS	C4H9N2O7P			NC(=O)C(OP(O)(=O)O)C(N)C(O)=O	228.09721	"['Asn*', 'Asx']"	N*	Norine		
28	D-N2Me-Asn	D-N2-methyl-asparagine	NRPS	C5H10N2O3	100393	(2R)-2-amino-4-methylamino-4-oxobutanoic acid	CNC(=O)CC(N)C(=O)O	146.1445	"['Asn*', 'Asx']"	N*	Norine		
29	OH-Asn	Hydroxyasparagine	NRPS	C4H8N2O4	152191	"2,4-diamino-3-hydroxy-4-oxobutanoic acid"	NC(=O)C(O)C(N)C(=O)O	148.11732	"['Asn*', 'Asx']"	N*	Norine		
30	Asn	Asparagine	NRPS	C4H8N2O3	6267	"(2S)-2,4-diamino-4-oxobutanoic acid"	NC(=O)CC(N)C(=O)O	132.11792	"['Asn*', 'Asx']"	N	Norine	1	
31	D-N2Me-bOH-Asn	D-beta-hydroxy-N2-methyl-asparagine	NRPS	C5H10N2O4			CNC(=O)C(O)C(N)C(=O)O	162.1439	"['Asn*', 'Asx']"	N*	Norine		
32	D-bMe-Asp	D-beta-methyl-aspartic acid	NRPS	C5H9NO4	5287600	(2R)-2-amino-3-methylbutanedioic acid	CC(C(N)C(=O)O)C(=O)O	147.12926	"['Asp*', 'Asx']"	D*	Norine		
33	Asp	Aspartic Acid	NRPS	C4H7NO4	5960	(2S)-2-aminobutanedioic acid	NC(CC(=O)O)C(=O)O	133.10269	"['Asp*', 'Asx']"	D	Norine	1	
34	OH-Asp	Hydroxyaspartic acid	NRPS	C4H7NO5	5425	2-amino-3-hydroxybutanedioic acid	NC(C(=O)O)C(O)C(=O)O	149.10208	"['Asp*', 'Asx']"	D*	Norine		
35	D-Asp	D-Aspartic Acid	NRPS	C4H7NO4	83887	(2R)-2-aminobutanedioic acid	NC(CC(=O)O)C(=O)O	133.10269	"['Asp*', 'Asx']"	D*	Norine		
36	bOMe-Asp	beta-methoxy-aspartic acid	unknown	C5H9NO4	102699	2-amino-4-methoxy-4-oxobutanoic acid	COC(=O)CC(N)C(=O)O	147.12926	"['Asp*', 'Asx']"	D*	Norine		
37	D-OH-Asp	D-Hydroxyaspartic acid	NRPS	C4H7NO5	675425	2-amino-3-hydroxybutanedioic acid	NC(C(=O)O)C(O)C(=O)O	149.10208	"['Asp*', 'Asx']"	D*	Norine		
38	OMe-Asp	methoxyaspartic acid	NRPS	C5H9NO5			CO=C(C(=O)O)C(N)C(=O)O	163.12866	"['Asp*', 'Asx']"	D*	Norine		1
39	bMe-Asp	beta-methyl-aspartic acid	NRPS	C5H9NO4	151054	(2S)-2-amino-3-methylbutanedioic acid	CC(C(N)C(=O)O)C(=O)O	147.12926	"['Asp*', 'Asx']"	D*	Norine		
40	Me2-Bmt	"4-butenyl-4-methyl-N,4-methyl threonine"	NRPS	C11H21NO3	7887106	"(E,2S,3R)-3-hydroxy-4,4-dimethyl-2-methylaminooct-6-enoic acid"	CC=CCC(C)(C)C(O)C(NC)C(=O)O	215.28934	"['Bmt*', 'Bmt*']"		Norine		
41	Bmt	4-butenyl-4-methyl threonine	NRPS	C9H17NO3	14185	"(E,2S,3R,4R)-2-amino-3-hydroxy-4-methyloct-6-enoic acid"	CC=CCC(C)C(O)C(N)C(=O)O	187.23618	"['Bmt*', 'Bmt*']"		Norine		
42	3d-NMe-Bmt	3-Desoxy-Methyl-4-butenyl-4-methyl threonine	NRPS	C10H19NO2		"(E,2S,3R)-4-methyl-2-methylaminooct-6-enoic acid"	CC=CCC(C)CC(NC)C(=O)O	185.26337	"['Bmt*', 'Bmt*']"		Norine		
43	NMe-Bmt	N-methyl-4-butenyl-4-methyl threonine	NRPS	C10H19NO3	492347	"(E,2S,3R)-3-hydroxy-4-methyl-2-methylaminooct-6-enoic acid"	CC=CCC(C)C(O)C(NC)C(=O)O	201.26276	"['Bmt*', 'Bmt*']"		Norine		
44	Gen	gentisic acid		C7H6O4	3469	"2,5-dihydroxybenzoic acid"	Oc1ccc(O)c(c1)C(=O)O	154.121	"['Bz*', 'Bz*']"		Norine		
45	pNH2-Bz	Para-amino benzoic acid		C7H7NO2			Nc1ccc(cc1)C(=O)O	137.136	"['Bz*', 'Bz*']"		Norine		
46	Bz	benzoic acid	unknown	C7H6O2	243	benzoic acid	O=C(O)c1ccccc1	122.121346	"['Bz*', 'Bz*']"		Norine		
47	diOH-Bz	"2,3-dihydroxybenzoic acid"	NRPS	C7H6O4	19		O=C(O)c1cccc(O)c1(O)	154.12015	"['Bz*', 'Bz*']"		Norine		
48	pOH-Bz	para-hydroxy-benzoic acid	unknown	C7H6O3	135	4-hydroxybenzoic acid	Oc1ccc(cc1)C(=O)O	138.12074	"['Bz*', 'Bz*']"		Norine		
49	Cap	capreomycidine	NRPS	C6H12N4O2	4627981	"2-amino-2-(2-amino-3,4,5,6-tetrahydropyrimidin-4-yl)acetic acid"	NC1=NCCC(N1)C(N)C(=O)O	172.18507	"['Cap*', 'Cap*']"		Norine		
50	5OH-Cap	5-hydroxy-capreomycidine	NRPS	C6H12N4O3			N=C1NC(O)CC(N1)C(N)C(=O)O	188.18448	"['Cap*', 'Cap*']"		Norine		
51	D-Ara	D-arabinose	CS	C5H10O5	6902	"(3S,4R,5R)-oxane-2,3,4,5-tetrol"	OC1COC(O)C(O)C1(O)	150.12991	"['Ara*', 'Carbohydrate']"		Norine		
52	Ara	arabinose	CS	C5H10O5	439195	"(3R,4S,5S)-oxane-2,3,4,5-tetrol"	OC1COC(O)C(O)C1(O)	150.12991	"['Ara*', 'Carbohydrate']"		Norine		
53	Oli	L-Olivose	CS	C6H14O4	10888063	"(4R,5S,6R)-6-methyloxane-2,4,5-triol"	CC1OC(O)CC(O)C1(O)	150.17296	"['CH*', 'Carbohydrate']"		Norine		
54	Ere	L-eremosamine	CS	C7H15NO3			CC1OC(O)CC(C)(N)C1(O)	161.1989	"['CH*', 'Carbohydrate']"		Norine		
55	Aco	L-acosamine	CS	C6H13NO3	101290229	"(4R,5S,6R)-4-amino-6-methyloxane-2,5-diol"	CC1OC(O)CC(N)C1(O)	147.17233	"['CH*', 'Carbohydrate']"		Norine		
56	Act	L-actinosamine	CS	C7H15NO3	20377364	4-amino-5-methoxy-6-methyloxan-2-ol	COC1C(N)CC(O)OC1(C)	161.1989	"['CH*', 'Carbohydrate']"		Norine		
57	D-Man	D-mannose	CS	C6H12O6	18950	"(3S,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol"	OCC1OC(O)C(O)C(O)C1(O)	180.15588	"['CH*', 'Carbohydrate']"		Norine		
58	Ria	L-ristosamine	CS	C6H13NO3	171083	"(3R,4R,5S)-3-amino-4,5-dihydroxyhexanal"	CC1OC(O)CC(N)C1(O)	147.17233	"['CH*', 'Carbohydrate']"		Norine		
59	Lyx	lyxose	CS	C5H10O5	439240	"(3S,4S,5R)-oxane-2,3,4,5-tetrol"	OC1COC(O)C(O)C1(O)	150.12991	"['CH*', 'Carbohydrate']"		Norine		
60	bD-Gal	beta-D-galactose	CS	C6H12O6	439353	"(2R,3R,4S,5R,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol"	OCC1OC(O)C(O)C(O)C1(O)	180.15588	"['Gal*', 'Carbohydrate']"		Norine		
61	D-Gal	D-galactose	CS	C6H12O6	206	"6-(hydroxymethyl)oxane-2,3,4,5-tetrol"	OCC1OC(O)C(O)C(O)C1(O)	180.15588	"['Gal*', 'Carbohydrate']"		Norine		
62	Glc	L-glucose	CS	C6H12O6	206	"6-(hydroxymethyl)oxane-2,3,4,5-tetrol"	OCC1OC(O)C(O)C(O)C1(O)	180.15588	"['Glc*', 'Carbohydrate']"		Norine		
63	D-Glc	D-Glucose	CS	C6H12O6	5793	"(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol"	OCC1OC(O)C(O)C(O)C1(O)	180.15588	"['Glc*', 'Carbohydrate']"		Norine		
64	2OMe-Rha	O-methyl-L-rhamnose	CS	C7H14O5	5179954	"3-methoxy-6-methyloxane-2,4,5-triol"	COC1C(O)OC(C)C(O)C1(O)	178.18306	"['Rha*', 'Carbohydrate']"		Norine		
65	Rha	L-rhamnose	CS	C6H12O5	25310	"(3R,4R,5R,6S)-6-methyloxane-2,3,4,5-tetrol"	CC1OC(O)C(O)C(O)C1(O)	164.15648	"['Rha*', 'Carbohydrate']"		Norine		
66	Van	L-vancosamine	CS	C7H15NO3	11367168	"(1R,3S,4S,5S)-3-amino-2,3,6-trideoxy-3-methyl-alpha-L-arabino-hexopyranose"	CC1OC(O)CC(C)(N)C1(O)	161.1989	"['Van*', 'Carbohydrate']"		Norine		
67	4oxo-Van	4-oxovancosamine	CS	C7H13NO3			CC1OC(O)CC(C)(N)C1(=O)	159.18303	"['Van*', 'Carbohydrate']"		Norine		
68	U4oxo-Van	ureido-4-oxovancosamine	CS	C8H14N2O4			CC1OC(O)CC2(C)(NC(=O)NC12(O))	202.20776	"['Van*', 'Carbohydrate']"		Norine		
69	ChrAct	actinomycin chromophore	other	C16H12N2O6	96175	"2-amino-4,6-dimethyl-3-oxophenoxazine-1,9-dicarboxylic acid"	Cc1ccc(C(=O)O)c2N=C3C(Oc12)=C(C)C(=O)C(N)=C3(C(=O)O)	328.27628	"['Chromophores', 'Chromophores']"		Norine		
70	ChrA	azotobactins chromophore	NRPS	C14H13N3O5			OC(=O)C2CCN4C(=O)NC3=Cc1cc(O)c(O)cc1N2C34	303.27014	"['Chromophores', 'Chromophores']"		Norine		
71	ChrP	pyoverdin chromophore	NRPS	C13H15N3O4			NC2=Cc1cc(O)c(O)cc1N3C(CCNC23)C(O)=O	277.2759	"['Chromophores', 'Chromophores']"		Norine		
72	ChrI	isopyoverdin chromophore	NRPS	C13H15N3O4			NC2=Cc1cc(O)c(O)cc1N3CCC(NC23)C(O)=O	277.2759	"['Chromophores', 'Chromophores']"		Norine		
73	ChrD	"5,6-dihydropyoverdin chromophore"	NRPS	C13H17N3O4			NC2Cc1cc(O)c(O)cc1N3C(CCNC23)C(O)=O	279.29178	"['Chromophores', 'Chromophores']"		Norine		
74	Cit	Citrulline	NRPS	C6H13N3O3	9750	(2S)-2-amino-5-(carbamoylamino)pentanoic acid	NC(=O)NCCCC(N)C(=O)O	175.18573	"['Cit*', 'Cit*']"		Norine		
75	D-Cit	D-Citrulline	NRPS	C6H13N3O3	637599	(2R)-2-amino-5-(carbamoylamino)pentanoic acid	NC(=O)NCCCC(N)C(=O)O	175.18573	"['Cit*', 'Cit*']"		Norine		
76	CMA	coronamic acid	NRPS	C6H11NO2	133485	1-amino-2-ethylcyclopropane-1-carboxylic acid	CCC1CC1(N)(C(=O)O)	129.15704	"['Cma*', 'Cma*']"		Norine		
77	norCMA	norcoronamic acid	NRPS	C5H9NO2			CC1CC1(N)C(=O)O	115.13046	"['Cma*', 'Cma*']"		Norine		
78	NMe-Cys	N-methylcysteine	NRPS	C4H9NO2S	452303	(2R)-2-(methylamino)-3-sulfanylpropanoic acid	CNC(CS)C(=O)O	135.1848	"['Cys*', 'Cys*']"	C*	Norine		
79	Cys	Cysteine	NRPS	C3H7NO2S	5862	(2R)-2-amino-3-sulfanylpropanoic acid	NC(CS)C(=O)O	121.15817	"['Cys*', 'Cys*']"	C	Norine	1	
80	diMe-Cys	"N,S-dimethylcysteine"	NRPS	C5H11NO2S	5288874	(2R)-2-(methylamino)-3-methylsulfanylpropanoic acid	CNC(CSC)C(=O)O	149.2113	"['Cys*', 'Cys*']"	C*	Norine		
81	CysA	cysteic acid	NRPS	C3H7NO5S	72886	(2R)-2-amino-3-sulfopropanoic acid	NC(CS(=O)(=O)O)C(=O)O	169.15637	"['Cys*', 'Cys*']"	C*	Norine		
82	D-CysA	D-cysteic acid	NRPS	C3H7NO5S	25701	2-amino-3-sulfopropanoic acid	NC(CS(=O)(=O)O)C(=O)O	169.15637	"['Cys*', 'Cys*']"	C*	Norine		
83	aMe-Cys	alpha-methylcysteine	NRPS	C4H9NO2S	10057562	2-amino-2-methyl-3-sulfanylpropanoic acid	CC(N)(CS)C(=O)O	135.18477	"['Cys*', 'Cys*']"	C*	Norine		
84	D-Cys	D-Cysteine	NRPS	C3H7NO2S	92851	(2S)-2-amino-3-sulfanylpropanoic acid	NC(CS)C(=O)O	121.15817	"['Cys*', 'Cys*']"	C*	Norine		
85	dhCys	dehydro-cysteine	NRPS	C3H5NO2S			NC(=CS)C(=O)O	119.1423	"['Cys*', 'Cys*']"	C*	Norine		
86	Iba	2-amino-4-iminobutanoic acid		C4H8N2O2	146036024	2-amino-4-iminobutanoic acid	C(C=N)C(C(=O)O)N	116.12	"['Dab*', 'Dab*']"		Norine		
87	Dab	"2,4-diaminobutyric acid"	NRPS	C4H10N2O2	134490	"(2S)-2,4-diaminobutanoic acid"	NCCC(N)C(=O)O	118.1344	"['Dab*', 'Dab*']"		Norine		
88	D-Dab	"D-2,4-diaminobutyric acid"	NRPS	C4H10N2O2	638153	"(2R)-2,4-diaminobutanoic acid"	NCCC(N)C(=O)O	118.1344	"['Dab*', 'Dab*']"		Norine		
89	Dap	Dolaproine	unknown	C9H17NO3			COC(C(C)C(O)=O)C1CCCN1	187.23618	"['Dap*', 'Dap*']"		Norine		
90	dDap	O-desmethyldolaproine	unknown	C8H15NO3			CC(C(=O)O)C(O)C1CCCN1	173.2096	"['Dap*', 'Dap*']"		Norine		
91	L-Dbu	"(2S,3S)-2,3-diaminobutyric acid"	NRPS	C4H10N2O2	11768553	"(2S,3S)-2,3-diaminobutanoic acid"	CC(N)C(N)C(=O)O	118.1344	"['Dbu*', 'Dbu*']"		Norine		
92	D-Dbu	"(2R,3R)-2,3-diaminobutyric acid"	NRPS	C4H10N2O2		"(2R,3R)-2,3-diaminobutanoic acid"	CC(N)C(N)C(=O)O	118.1344	"['Dbu*', 'Dbu*']"		Norine		
93	Dbu	"(2S)-2,3-diaminobutyric acid"	NRPS	C4H10N2O2	11073394	"(2S)-2,3-diaminobutanoic acid"	CC(N)C(N)C(=O)O	118.1344	"['Dbu*', 'Dbu*']"		Norine		
94	dDil	N-desmethyldolaisoleucine	unknown	C9H19NO3			CCC(C)C(N)C(CC(O)=O)OC	189.25206	"['Dil*', 'Dil*']"		Norine		
95	Dil	Dolaisoleucine	unknown	C10H21NO3			CCC(C)C(NC)C(CC(O)=O)OC	203.27863	"['Dil*', 'Dil*']"		Norine		
96	Dpr	"2,3-Diaminopropionic acid"	NRPS	C3H8N2O2	364	"2,3-diaminopropanoic acid"	NCC(N)C(=O)O	104.10782	"['Dpr*', 'Dpr*']"		Norine		
97	NAc-Dpr	"N1-acetyl-2,3-Diaminopropionic acid"	unknown	C5H10N2O3			CC(=O)NC(CN)C(=O)O	146.1445	"['Dpr*', 'Dpr*']"		Norine		
98	NFo-Dpr	"N1-formyl-2,3-Diaminopropionic acid"	unknown	C4H8N2O3			NCC(NC=O)C(=O)O	132.11792	"['Dpr*', 'Dpr*']"		Norine		
99	D-End	D-enduracididine	NRPS	C6H12N4O2			N=C1NCC(CC(N)C(O)=O)N1	172.18507	"['End*', 'End*']"		Norine		
100	End	enduracididine	NRPS	C6H12N4O2			N=C1NCC(CC(N)C(O)=O)N1	172.18507	"['End*', 'End*']"		Norine		
101	C12:0	dodecanoic acid	FAS	C12H24O2	3893	dodecanoic acid	CCCCCCCCCCCC(=O)O	200.31776	"['FA*', 'FA']"		Norine		
102	Isovaleric_acid	3-methylbutanoic acid		C5H10O2	10430	3-methylbutanoic acid	CC(C)CC(=O)O	102.133	"['FA*', 'FA']"		Norine		
103	iC9:2(2.t4)	"2,trans4-7-methyl-octenoic acid"	FAS	C9H14O2			CC(C)CC=CC=CC(=O)O	154.20625	"['FA*', 'FA']"		Norine		
104	iC9:0	7-methyloctanoic acid	FAS	C9H18O2	33635	7-methyloctanoic acid	CC(C)CCCCCC(=O)O	158.238	"['FA*', 'FA']"		Norine		
105	iC8:0	6-methylheptanoic acid	FAS	C8H16O2	90716	6-methylheptanoic acid	CC(C)CCCCC(=O)O	144.21144	"['FA*', 'FA']"		Norine		
106	iC7:0	5-methyl-hexanoic acid	FAS	C7H14O2	12344	5-methylhexanoic acid	CC(C)CCCC(=O)O	130.18488	"['FA*', 'FA']"		Norine		
107	iC5:0-OH(2)-CA(4)	2-hydroxy-3-methyl-butanedioic acid	unknown	C5H8O5	558882	2-hydroxy-3-methylbutanedioic acid	CC(C(=O)O)C(O)C(=O)O	148.11403	"['FA*', 'FA']"		Norine		
108	aC9:0-OH(2)-NH2(3)	alpha-hydroxy-6-methyl-3-aminooctanoic acid	unknown	C9H19NO3			CCC(C)CCC(N)C(O)C(=O)O	189.25206	"['FA*', 'FA']"		Norine		
109	iC17:0-NH2(3)	3-amino-15-methyl-hexadecanoic acid	FAS	C17H35NO2			CC(C)CCCCCCCCCCCC(N)CC(O)=O	285.4653	"['FA*', 'FA']"		Norine		
110	iC16:0-NH2(3)	3-amino-14-methyl-pentadecanoic acid	FAS	C16H33NO2			CC(C)CCCCCCCCCCC(N)CC(O)=O	271.43872	"['FA*', 'FA']"		Norine		
111	iC15:0-NH2(3)	3-amino-13-methyl-tetradecanoic acid	FAS	C15H31NO2			CC(C)CCCCCCCCCC(N)CC(O)=O	257.41214	"['FA*', 'FA']"		Norine		
112	iC14:1(3)	12-methyl-3-tridecenoic acid	FAS	C14H26O2			CC(C)CCCCCCCC=CCC(O)=O	226.35504	"['FA*', 'FA']"		Norine		
113	iC14:0-NH2(3)	3-amino-12-methyl-tridecanoic acid	FAS	C14H29NO2	22471993	3-amino-12-methyltridecanoic acid	CC(C)CCCCCCCCC(N)CC(=O)O	243.38556	"['FA*', 'FA']"		Norine		
114	aC9:0	6-methyloctanoic acid	FAS	C9H18O2	10447	6-methyloctanoic acid	CCC(C)CCCCC(=O)O	158.238	"['FA*', 'FA']"		Norine		
115	Tig	tiglic acid	FAS	C5H8O2	125468	(E)-2-methylbut-2-enoic acid	CC=C(C)C(=O)O	100.11582	"['FA*', 'FA']"		Norine		
116	iC14:0	12-methyl-tridecanoic acid	FAS	C14H28O2	520298	12-methyltridecanoic acid	CC(C)CCCCCCCCCCC(=O)O	228.37093	"['FA*', 'FA']"		Norine		
117	aC17:0-NH2(3)	3-amino-14-methyl-hexadecanoic acid	FAS	C17H35NO2			CCC(C)CCCCCCCCCCC(N)CC(O)=O	285.4653	"['FA*', 'FA']"		Norine		
118	iC13:1(3)	11-methyl-3-dodecenoic acid	FAS	C13H24O2			CC(C)CCCCCCC=CCC(O)=O	212.32846	"['FA*', 'FA']"		Norine		
119	iC13:0	11-methyldodecanoic acid	FAS	C13H26O2	33002	11-methyldodecanoic acid	CC(C)CCCCCCCCCC(=O)O	214.34433	"['FA*', 'FA']"		Norine		
120	iC12:2(2.t4)	"10-methyl-2,trans4-undecanoic acid"	FAS	C12H20O2			CC(C)CCCCC=CC=CC(O)=O	196.286	"['FA*', 'FA']"		Norine		
121	iC12:0	10-methylundecanoic acid	FAS	C12H24O2	75942	10-methylundecanoic acid	CC(C)CCCCCCCCC(=O)O	200.31776	"['FA*', 'FA']"		Norine		
122	aC15:1(3)	12-methyl-3-tetradecenoic acid	FAS	C15H28O2			CCC(C)CCCCCCCC=CCC(O)=O	240.38162	"['FA*', 'FA']"		Norine		
123	iC11:0	9-methyldecanoic acid	FAS	C11H22O2	5312289	9-methyldecanoic acid	CC(C)CCCCCCCC(=O)O	186.29118	"['FA*', 'FA']"		Norine		
124	iC10:2(2.t4)	"2,trans4-8-methyl-noneoic acid"	FAS	C10H16O2			CC(C)CCC=CC=CC(O)=O	168.23285	"['FA*', 'FA']"		Norine		
125	iC10:0	8-methylnonanoic acid	FAS	C10H20O2	111470	8-methylnonanoic acid	CC(C)CCCCCCC(=O)O	172.2646	"['FA*', 'FA']"		Norine		
126	aC15:0-NH2(3)	3-amino-12-methyl-tetradecanoic acid	FAS	C15H31NO2			CCC(C)CCCCCCCCC(N)CC(O)=O	257.41214	"['FA*', 'FA']"		Norine		
127	aC15:0	12-methyltetradecanoic acid	FAS	C15H30O2	21672	12-methyltetradecanoic acid	CCC(C)CCCCCCCCCCC(=O)O	242.3975	"['FA*', 'FA']"		Norine		
128	aC13:2(2.t4)	"10-methyl-2,trans4-dodecenoic acid"	FAS	C13H22O2			CCC(C)CCCCC=CC=CC(O)=O	210.31258	"['FA*', 'FA']"		Norine		
129	aC13:1(3)	10-methyl-3-dodecenoic acid	FAS	C13H24O2			CCC(C)CCCCCC=CCC(O)=O	212.32846	"['FA*', 'FA']"		Norine		
130	aC13:0	10-methyldodecanoic acid	FAS	C13H26O2	3014565	10-methyldodecanoic acid	CCC(C)CCCCCCCCC(=O)O	214.34433	"['FA*', 'FA']"		Norine		
131	C10:0	decanoic acid	FAS	C10H20O2	2969	decanoic acid	CCCCCCCCCC(=O)O	172.2646	"['FA*', 'FA']"		Norine		
132	C10:0-NH2(2)-oxo(8)	2-amino-8-oxo-decanoic acid	unknown	C10H19NO3			CCC(=O)CCCCCC(N)C(=O)O	201.26276	"['FA*', 'FA']"		Norine		
133	C10:0-OH(2)-NH2(3)	3-amino-2-hydroxy decanoic acid		C10H21NO3	57484230	3-amino-2-hydroxydecanoic acid	CCCCCCCC(N)C(O)C(=O)O	203.282	"['FA*', 'FA']"		Norine		
134	C10:0-OH(8)-NH2(2)	8-hydroxy-2-amino-decanoic acid	unknown	C10H21NO3			CCC(O)CCCCCC(N)C(=O)O	203.27863	"['FA*', 'FA']"		Norine		
135	C10:0-OH(9)-NH2(2)	9-hydroxy-2-amino-decanoic acid	unknown	C10H21NO3			CC(O)CCCCCCC(N)C(=O)O	203.27863	"['FA*', 'FA']"		Norine		
136	C10:0-OH(9)-NH2(2)-oxo(8)	9-hydroxy-2-amino-8-oxo-decanoic acid	unknown	C10H19NO4			CC(O)C(=O)CCCCCC(N)C(=O)O	217.26216	"['FA*', 'FA']"		Norine		
137	C10:0-oxo(3)	3-oxo-decanoic acid		C10H18O3	5282982	3-oxodecanoic acid	CCCCCCCC(=O)CC(O)=O	186.25	"['FA*', 'FA']"		Norine		
